title,keyword,rate_score,StarRate_ParticipantCount
"옆집, 연하, 설렘",#별점1000개이상#3000~5000원#현대물#나이차커플#첫사랑#원나잇#순정남#동정남#연하남#다정남#절륜남#절륜녀#상처녀#잔잔물#달달물#스포츠물#능력남#직진남#유혹남#짝사랑남#순진남#존댓말남#대형견남#뇌섹녀#능력녀#무심녀#힐링물#평점4점이상#리뷰100개이상#단행본,4.3,3420
아폴론의 심장,#별점1000개이상#5000~1만원#현대물#기억상실#동거#재회물#상처남#나쁜남자#절륜남#계략남#오해#재벌남#갑을관계#계약연애/결혼#소유욕/독점욕/질투#집착남#냉정남#오만남#철벽녀#동정녀#냉정녀#무심녀#추리/미스터리/스릴러#피폐물#평점4점이상#리뷰100개이상#고수위#단행본,4.2,2809
개정판 | 네가 필요해,#별점1000개이상#3000~5000원#현대물#사내연애#나쁜남자#카리스마남#소유욕/독점욕/질투#대형견남#능력녀#외유내강#츤데레남#평점4점이상#리뷰100개이상#2016년출간#단행본,4.3,5595
더티 매리지,#별점1000개이상#3000~5000원#현대물#맞선#원나잇#정략결혼#까칠남#절륜남#상처녀#오해#재벌남#계약연애/결혼#몸정>맘정#소유욕/독점욕/질투#능력남#직진남#유혹남#무심녀#외유내강#더티토크#츤데레남#평점4점이상#리뷰100개이상#고수위#단행본,4.2,4672
언익스펙티드(Unexpected),#별점1000개이상#3000~5000원#현대물#재회물#동정남#후회남#절륜남#계략남#오해#재벌남#소유욕/독점욕/질투#운명적사랑#무심남#대형견남#능력녀#철벽녀#이야기중심#평점4점이상#리뷰100개이상#고수위#단행본,4.1,3945
상사와 몰래 하는 짓,#별점1000개이상#5000~1만원#현대물#사내연애#다정남#절륜남#카리스마남#재벌남#비밀연애#몸정>맘정#능력남#직진남#유혹남#존댓말남#능력녀#직진녀#유혹녀#동정녀#엉뚱녀#더티토크#평점4점이상#리뷰100개이상#고수위#단행본,4.2,2436
요한은 티테를 사랑한다,#별점1000개이상#3000원이하#가상시대물#판타지물#서양풍#왕족/귀족#소유욕/독점욕/질투#능력남#철벽남#순진남#직진녀#계략녀#집착녀#악녀시점#평점4점이상#리뷰100개이상#단행본,4.6,3465
젖과 꿀이 흐르는,#별점1000개이상#3000~5000원#현대물#첫사랑#동정남#연하남#다정남#절륜남#계략남#순진녀#상처녀#조직/암흑가#갑을관계#소유욕/독점욕/질투#뇌섹남#능력남#사이다남#집착남#존댓말남#동정녀#더티토크#리뷰100개이상#고수위#단행본,3.9,5163
나의 아름다운 선,#별점1000개이상#3000~5000원#현대물#첫사랑#재회물#순정남#다정남#상처녀#능글남#잔잔물#애잔물#전문직#몸정>맘정#뇌섹남#직진남#냉정녀#평점4점이상#리뷰100개이상#단행본,4.5,3322
낙원의 오후,#별점1000개이상#3000~5000원#현대물#사내연애#까칠남#상처남#순진녀#애잔물#외유내강#평점4점이상#리뷰100개이상#2015년출간#단행본,4.4,6383
"나쁜, 독",#별점1000개이상#3000~5000원#현대물#동거#복수#사제지간#나쁜남자#절륜남#상처녀#오해#카리스마남#재벌남#몸정>맘정#소유욕/독점욕/질투#금단의관계#운명적사랑#뇌섹남#능력남#냉정남#오만남#사이다녀#외유내강#털털녀#피폐물#리뷰100개이상#썸딜#고수위#단행본,3.9,1999
창백한 손의 온기,#별점1000개이상#5000~1만원#현대물#첫사랑#신파#재회물#상처남#동정남#후회남#다정남#절륜남#계략남#상처녀#오해#재벌남#애잔물#소유욕/독점욕/질투#금단의관계#운명적사랑#뇌섹남#능력남#직진남#집착남#짝사랑남#다정녀#순정녀#동정녀#외유내강#평점4점이상#리뷰100개이상#단행본,4.4,2008
